1,7869,James Cervantes,3241,Clothing,Shoes,Mobile Payments,54,686,2022-06-23 05:15,France,Nice,Walmart.com,57,Y,Payment Successful 
2,4243,Heather Thompson,8208,Health,Advil,Debit Card,16,318,2022-04-07 9:30,India,Bengaluru,Ebay.com,66,Y,Payment Successful 
3,1920,Kevin Mendoza,6187,Home Appliances,Couch,Credit Card,59,660,2022-01-23 10:33,Brazil,Belo Horizonte,Ebay.com,53,Y,Payment Successful 
4,1275,Austin Martin,1884,Clothing,Dress,Mobile Payments,35,458,2022-06-23 05:15,Brazil,Fortaleza,Ebay.com,17,N,I didn't have enough 
5,7609,Jessica Davis,9554,Gardening,Rake,Debit Card,93,297,2022-06-23 05:15,Italy,Turin,Alibaba.com,75,Y,Payment Successful 
6,79,Glenn Jones,8449,Technology,,Debit Card,65,258,2022-05-18 02:33,South Korea,Daegu,Alibaba.com,49,Y,Payment Successful 
7,3298,Tina Perry,325,Home Appliances,Bed,Credit Card,75,380,2022-01-23 10:33,Brazil,Belo Horizonte,Ebay.com,12,N,I didn't have enough 
8,6700,Kelly Mclaughlin,4591,Home Appliances,,Credit Card,98,878,2022-01-23 10:33,Germany,Munich,Amazon.com,82,N,I entered my card info wrong by accident 
9,8192,Anna Wilson,1398,Home Appliances,Table,Debit Card,63,616,2022-01-23 10:33,South Korea,Daegu,Walmart.com,9,Y,Payment Successful 
10,4509,Sherry Flores,5986,Technology,,Mobile Payments,53,444,2022-04-07 9:30,Japan,Osaka,Alibaba.com,35,Y,Payment Successful 
11,9090,Robin Burns,3767,Home Appliances,Couch,Debit Card,46,402,2022-06-23 05:15,Mexico,Guadalajara,Walmart.com,27,Y,Payment Successful 
12,8830,Tamara Wilson,5490,Technology,Wires,Debit Card,25,893,2022-05-18 02:33,China,Shanghai,Walmart.com,2,N,I entered my card info wrong by accident 
13,4503,Holly Rodriguez,3575,Technology,Tablet,Mobile Payments,56,57,2022-04-07 9:30,Mexico,Puebla,Amazon.com,98,Y,Payment Successful 
14,7167,Benjamin Mercado,8432,Technology,,Mobile Payments,44,211,2022-04-07 9:30,United States,San Francisco,Target.com,4,Y,Payment Successful 
15,775,Warren Boyle,4348,Home Appliances,Table,Debit Card,36,703,2022-06-23 05:15,France,Paris,Ebay.com,59,Y,Payment Successful 
16,6696,Shari Flores,4940,Health,Advil,Credit Card,34,237,2022-01-23 10:33,United States,New York City,Walmart.com,62,Y,Payment Successful 
17,3578,Jennifer Lee,2381,Gardening,Rake,Credit Card,88,975,2022-06-23 05:15,China,Beijing,Target.com,46,N,My card was closed 
18,9664,James Cervantes,8683,Home Appliances,Bed,Debit Card,90,655,2022-05-18 02:33,Germany,Munich,Target.com,53,N,I entered my card info wrong by accident 
19,4171,Taylor Thomas,2322,Gardening,Hoe,Credit Card,21,123,2022-04-07 9:30,South Korea,Daegu,Walmart.com,21,N,My card was closed 
20,9245,Brandon Torres,1897,Home Appliances,,Debit Card,6,862,2022-04-07 9:30,South Korea,Seoul,Ebay.com,68,Y,Payment Successful 
21,871,Brittany Montgomery,4840,Gardening,Hoe,Debit Card,2,874,2022-06-23 05:15,Italy,Rome,Alibaba.com,8,N,My card was closed 
22,9465,Jenna Schultz,9454,Technology,,Debit Card,44,989,2022-04-07 9:30,Japan,Sapporo,Ebay.com,23,N,I didn't have enough 
23,4071,Melissa Hamilton,3847,Clothing,Shirt,Debit Card,11,340,2022-05-18 02:33,Brazil,Fortaleza,Ebay.com,92,N,I didn't have enough 
24,3201,Randy Smith,1757,Gardening,Rake,Debit Card,67,391,2022-01-23 10:33,Germany,Berlin,Amazon.com,98,Y,Payment Successful 
25,2112,Holly Fisher,9824,Clothing,Shoes,Debit Card,29,671,2022-06-23 05:15,Mexico,Iztapalapa,Walmart.com,86,N,My card was closed 
26,3493,Brittany Montgomery,5434,Clothing,Shoes,Mobile Payments,54,314,2022-05-18 02:33,Japan,Kyoto,Ebay.com,34,Y,Payment Successful 
27,2564,Karen Hall,6185,Technology,PC,Debit Card,98,366,2022-01-23 10:33,Germany,Koeln,Ebay.com,49,Y,Payment Successful 
28,4240,Jessica Davis,8581,Health,Nyquill,Debit Card,77,399,2022-05-18 02:33,Germany,Berlin,Ebay.com,33,N,I didn't have enough 
29,9159,Heidi Molina,8814,Clothing,Shoes,Credit Card,47,984,2022-01-23 10:33,China,Guangzhou,Alibaba.com,63,Y,Payment Successful 
30,3469,Michael Brooks,7138,Gardening,Rake,Credit Card,31,501,2022-06-23 05:15,China,Shanghai,Amazon.com,66,Y,Payment Successful 
31,4676,Tyler Stephenson,8303,Home Appliances,,Debit Card,56,446,2022-04-07 9:30,United States,Chicago,Alibaba.com,43,N,My card was closed 
32,9274,Russell Chavez,1430,Technology,Tablet,Mobile Payments,45,298,2022-04-07 9:30,Italy,Milan,Walmart.com,12,Y,Payment Successful 
33,4897,Taylor Thomas,5803,Clothing,Shirt,Credit Card,33,283,2022-06-23 05:15,United States,,Amazon.com,77,Y,Payment Successful 
34,6288,Kevin Mendoza,7874,Technology,Tablet,Debit Card,90,22,2022-05-18 02:33,Japan,Sapporo,Target.com,50,N,I didn't have enough 
35,6556,Carrie Doyle,324,Home Appliances,Table,Mobile Payments,54,104,2022-04-07 9:30,Brazil,Brasilia,Target.com,29,Y,Payment Successful 
